,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1732,14243662,3F Front Studio Modern Master Bedroom Hougang MRT,17916952,Lee,North-East Region,Hougang,1.36948,103.89242,Private room,86,10,0,,,2,86
1739,14324619,Punggol Edgedale Plains 821171,63355544,Ghanesh,North-East Region,Punggol,1.39497,103.91332,Private room,40,90,0,,,1,365
1744,14350567,Cosy Apt with Bay and River-views near CBD>滨海高档公寓区,34623849,Ray,Central Region,Kallang,1.2976299999999998,103.8746,Entire home/apt,278,90,0,,,2,363
1760,14456725,"Skinny Town House, Rooms @ the Top.",5855801,Ana,East Region,Bedok,1.32064,103.91455,Private room,169,1,0,,,1,363
1763,14491116,Private room in a nice and quiet surrounding.,24242280,Tay,North-East Region,Serangoon,1.38106,103.8615,Private room,81,1,0,,,1,179
1776,14540241,For furry pets only,64261467,Sharoz,North-East Region,Serangoon,1.35984,103.87375,Private room,60,1,0,,,1,173
1779,14558461,Modern private studio room EZS-4,24496358,Katherine,East Region,Bedok,1.32346,103.91448000000001,Private room,169,7,0,,,24,353
1788,14602011,Good rooms at Novena,90599917,Charlene,Central Region,Novena,1.32265,103.84037,Private room,60,60,0,,,1,89
1797,14676512,highrise heritage queenbed RmB,8948251,Joey,Central Region,Outram,1.28449,103.84315,Private room,43,90,0,,,83,352
1813,14774554,Master bedroom (en suite bathroom).,47723162,Mickael,Central Region,Bishan,1.36389,103.83225999999999,Private room,190,1,0,,,2,365
1830,14927787,Master bedroom in Charlton park,93851525,Tony,North-East Region,Serangoon,1.35284,103.86522,Private room,200,1,0,,,1,89
1831,14938335,"Nice location, great view",54324125,Angela,Central Region,Novena,1.32682,103.84951,Private room,69,90,0,,,5,364
1832,14940462,"Nice view, great location",54324125,Angela,Central Region,Novena,1.3271600000000001,103.84897,Private room,89,90,0,,,5,364
1834,14954546,Pool facing corner,93089312,Li,Central Region,Geylang,1.3142,103.88363000000001,Private room,144,1,0,,,1,89
1836,14974766,Balestier New Condo Near Novena MRT,91064876,Tom,Central Region,Novena,1.32711,103.84919000000001,Private room,69,90,0,,,8,364
1838,14989427,Master Bedroom in Vista Residences,91064876,Tom,Central Region,Novena,1.32738,103.84366999999999,Private room,119,90,0,,,8,364
1839,14989682,master bedroom in condo @ boon Keng,91064876,Tom,Central Region,Kallang,1.32091,103.86533,Private room,110,90,0,,,8,364
1840,14989747,Common Room in Condo @ Boon Keng,91064876,Tom,Central Region,Kallang,1.32208,103.86534,Private room,69,90,0,,,8,364
1842,14991236,Master Bedroom 31 Boon Teck Road,91064876,Tom,East Region,Bedok,1.33394,103.94547,Private room,110,90,0,,,8,364
1843,15001844,"Clean,cosy and convenient place to a stay and tour",94622308,Gayathri,North-East Region,Serangoon,1.35077,103.86915,Private room,65,180,0,,,1,365
1860,15142068,Common Room @ Thomson Rd,91064876,Tom,Central Region,Novena,1.32795,103.84222,Private room,69,90,0,,,8,364
1861,15142137,Master Room in Condo @ Thomson Rd,91064876,Tom,Central Region,Novena,1.3290600000000001,103.84224,Private room,119,90,0,,,8,364
1871,15189554,Cosy windy high floor flat,10884468,Andi,North Region,Yishun,1.42547,103.84366999999999,Entire home/apt,75,180,0,,,1,362
1873,15198197,ExpiredPost,91255816,Xueqin,East Region,Bedok,1.33467,103.90244,Shared room,500,1,0,,,1,179
1877,15229173,"Hawaii style resort, near the city.",29131068,Henry,East Region,Bedok,1.3130600000000001,103.93365,Private room,139,2,0,,,2,365
1884,15295359,CBD area Lux 1BR condo,35746057,Hedy,Central Region,Downtown Core,1.27498,103.84549,Entire home/apt,229,26,0,,,3,86
1894,15365213,Expat's choice! En-suites room with shared pool,24496358,Katherine,East Region,Bedok,1.32415,103.91476999999999,Private room,131,3,0,,,24,342
1897,15379742,"Luxurious Private Suite, Daily Maid Service",98310459,Diana,Central Region,Tanglin,1.31846,103.83196,Private room,150,7,0,,,1,363
1913,15475788,Cozy Condo Apartment in Central -walk to 3 MRT,21149720,Mike,Central Region,Kallang,1.3124,103.85932,Entire home/apt,222,1,0,,,16,351
1919,15502064,Cozy and Quiet Living Near Beach,97865585,Tktotts,East Region,Pasir Ris,1.3774899999999999,103.96112,Entire home/apt,90,90,0,,,1,239
1943,15651261,Cosy Room in the Central Business District,20049904,Lenneth,Central Region,Bukit Merah,1.27616,103.83965,Private room,44,90,0,,,2,358
1949,15711027,2BR [P] Srvcd Apt ★ Clementi,101145755,Joanne,West Region,Clementi,1.31019,103.76001,Entire home/apt,319,3,0,,,11,353
1953,15722252,夏威夷式度假公寓,29131068,Henry,East Region,Bedok,1.3119399999999999,103.93623000000001,Private room,100,2,0,,,2,365
1961,15749275,Vacation Condo Apartment -mins walk to 3 MRT,21149720,Mike,Central Region,Kallang,1.31187,103.85814,Entire home/apt,208,1,0,,,16,351
1965,15765810,"无中介,主卧招租,地段极佳",101926374,Yingying,Central Region,Toa Payoh,1.33479,103.84262,Shared room,50,240,0,,,1,364
1968,15775439,1BR in Nice Condo near MRT,6689302,Fiona,West Region,Bukit Panjang,1.37362,103.76625,Private room,37,90,0,,,2,256
1970,15790995,Bright & Windy newly renovated cosy room,9478865,Dianna,North Region,Sembawang,1.44622,103.81651,Private room,35,180,0,,,1,353
1973,15796599,2BR [A] Srvcd Apt ★ 5mins walk to Queenstown MRT,101145755,Joanne,Central Region,Queenstown,1.2922200000000001,103.80779,Entire home/apt,256,3,0,,,11,355
1974,15797092,Condo Next to MRT/Shop Near CBD - At least 6 mths,102202696,Keith,Central Region,Bukit Merah,1.28675,103.82683,Entire home/apt,250,180,0,,,1,358
1979,15826677,Suite@payalebar/near Serangoon NE12,95539967,Elizabeth,North-East Region,Hougang,1.3499700000000001,103.88114,Private room,25,30,0,,,3,323
1982,15850202,Spacious Master Room - Terrace House,29427922,Luis,North-East Region,Sengkang,1.39877,103.87250999999999,Private room,69,180,0,,,1,358
2002,16005440,Single bedroom in Condo,10855869,George,North-East Region,Punggol,1.3973,103.91393000000001,Private room,58,1,0,,,1,25
2029,16149534,Studio Room 5 with pool in Private house 泳池别墅5号套房,68059127,Wei,East Region,Bedok,1.3251600000000001,103.9146,Private room,137,3,0,,,21,179
